artist_id,artist_name,artist_popularity,artist_image,primary_genre,supergenre
3AWprtbEToKCq6Xzz0tTX4,Mamman Sani,31,https://i.scdn.co/image/ab6761610000e5ebcf7267fa50d01a4a12d1e147,ethiopian jazz,Unlisted
2uZiIZt94U6VvsxacxQwXz,Oberst,2,https://i.scdn.co/image/ab6761610000e5eb82a9d44f17988622c0dedda4,norsk rock,Unlisted
2zDEnKW6qy7E4M9A2c2YAZ,Lao,19,https://i.scdn.co/image/ab6761610000e5ebfb960c78bb48bc529a38aa17,latin r&b,Unlisted
67Qz4pUaFSBwVrv9Ds8Dzj,Cathaysia,0,,,Unlisted
4tMMHQ58Jn6IvUATulcNcw,Lamonde,0,https://i.scdn.co/image/ab67616d0000b2730ece4c3f9bf2f6c1efdb8dc0,,Unlisted
5ESobCkc6JI4tIMxQttqeg,Bessie Smith,40,https://i.scdn.co/image/5aaabae6a8e5d353ca8ac6b5cc6adfc91c2c5a5e,classic blues,Unlisted
5zaaSq5kBeam20iRoCahMj,Grey Area 03,0,https://i.scdn.co/image/ab67616d0000b2738b854c715cb12734db2e496e,,Unlisted
45q77VMb6x9mgH5dAMLDJp,Sainkho Namtchylak,34,https://i.scdn.co/image/ab67616d0000b273d73f6d46da36268a7577072b,,Unlisted
4jm59PnyzdzUkYGJ4bCyPQ,Margot,12,https://i.scdn.co/image/ab6761610000e5eb50cf8182ee46ac15b792805c,indie dance,Unlisted
5klp9VmF0Os0ytBwXBy8Tf,Lindiwe Mkhize,41,,,Unlisted
1D86M7ewUQH1vS0QsXCmI9,Emahoy Tsege Mariam Gebru,51,https://i.scdn.co/image/ab6761610000e5eb4a6f3766a23e91536d7ee6ed,ethiopian jazz,Unlisted
3NLWTwNuFNPJaHEVEWxaqj,Matteo Manfredi,5,https://i.scdn.co/image/ab67616d0000b2735768c9b6aa8f26edb60388a1,,Unlisted
0g3j2imizKJ0OEaxwhF0xn,Blaire Reinhard,17,https://i.scdn.co/image/ab67616d0000b273d162a0eff49574365c35456a,,Unlisted
4cHdzQMvESi5fSYStocJQT,Annaleigh Ashford,48,https://i.scdn.co/image/ab67616d0000b2731828473d593f22288c795e5c,musicals,Unlisted
