weekdate,position,artist,track
2011-12-30,18,DRAKE FT RIHANNA,TAKE CARE
2011-12-30,19,LMFAO,SEXY AND I KNOW IT
2011-12-30,20,KATY PERRY,THE ONE THAT GOT AWAY
2011-12-30,21,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2011-12-30,22,RIHANNA,YOU DA ONE
2011-12-30,23,BEYONCE,LOVE ON TOP
2011-12-30,24,T-PAIN/WIZ KHALIFA/LILY ALLEN,5 O'CLOCK
2011-12-30,25,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
2011-12-30,26,JESSIE J,WHO YOU ARE
2011-12-30,27,STACEY SOLOMON,DRIVING HOME FOR CHRISTMAS
2011-12-30,28,JUSTIN BIEBER,MISTLETOE
2011-12-30,29,LANA DEL REY,VIDEO GAMES
2011-12-30,30,CHRISTINA PERRI,JAR OF HEARTS
2011-12-30,31,LADY GAGA,MARRY THE NIGHT
2011-12-30,32,BRUNO MARS,IT WILL RAIN
2011-12-30,33,CAST OF THE ONLY WAY IS ESSEX,LAST CHRISTMAS
2011-12-30,34,WHAM,LAST CHRISTMAS
2011-12-30,35,REBECCA FERGUSON,OTHING'S REAL BUT LOVE
2011-12-30,36,CHRIS REA,DRIVING HOME FOR CHRISTMAS
2011-12-30,37,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
2011-12-30,38,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY
2011-12-30,39,JASON DERULO,FIGHT FOR YOU
2011-12-30,40,SLADE,MERRY XMAS EVERYBODY
2011-12-30,41,BAND AID,DO THEY KNOW IT'S CHRISTMAS
2011-12-30,42,KELLY ROWLAND FT THE WAVS,DOWN FOR WHATEVER
2011-12-30,43,LMFAO/LAUREN BENNETT/GOONROCK,PARTY ROCK ANTHEM
2011-12-30,44,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2011-12-30,45,ED SHEERAN,THE A TEAM
2011-12-30,46,WANTED,WARZONE
2011-12-30,47,MICHAEL BUBLE,CHRISTMAS (BABY PLEASE COME HOME)
2011-12-30,48,X FACTOR FINALISTS 2011,WISHING ON A STAR
2011-12-30,49,ADELE,SOMEONE LIKE YOU
2011-12-30,50,AMY WINEHOUSE,OUR DAY WILL COME
2012-01-06,1,COLDPLAY,PARADISE
2012-01-06,2,OLLY MURS,DANCE WITH ME TONIGHT
2012-01-06,3,FLO RIDA,GOOD FEELING
2012-01-06,4,MILITARY WIVES/GARETH MALONE,WHEREVER YOU ARE
2012-01-06,5,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-01-06,6,LITTLE MIX,CANNONBALL
2012-01-06,7,ED SHEERAN,LEGO HOUSE
2012-01-06,8,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-01-06,9,LMFAO,SEXY AND I KNOW IT
2012-01-06,10,RIZZLE KICKS,MAMA DO THE HUMP
2012-01-06,11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-01-06,12,AVICII,LEVELS
2012-01-06,13,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-01-06,14,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-01-06,15,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
2012-01-06,16,RIHANNA,YOU DA ONE
2012-01-06,17,ED SHEERAN,THE A TEAM
2012-01-06,18,KATY PERRY,THE ONE THAT GOT AWAY
2012-01-06,19,CHRISTINA PERRI,JAR OF HEARTS
2012-01-06,20,DRAKE FT RIHANNA,TAKE CARE
2012-01-06,21,WANTED,WARZONE
2012-01-06,22,BEYONCE,LOVE ON TOP
2012-01-06,23,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2012-01-06,24,LMFAO/LAUREN BENNETT/GOONROCK,PARTY ROCK ANTHEM
2012-01-06,25,JESSIE J,WHO YOU ARE
2012-01-06,26,LADY GAGA,MARRY THE NIGHT
2012-01-06,27,ADELE,SOMEONE LIKE YOU
2012-01-06,28,BRUNO MARS,MARRY YOU
2012-01-06,29,T-PAIN/WIZ KHALIFA/LILY ALLEN,5 O'CLOCK
2012-01-06,30,BRUNO MARS,IT WILL RAIN
2012-01-06,31,DAVID GUETTA FT USHER,WITHOUT YOU
2012-01-06,32,ADELE,SET FIRE TO THE RAIN
2012-01-06,33,SEAN KINGSTON,PARTY ALL NIGHT (SLEEP ALL DAY)
2012-01-06,34,JESSIE J,DOMINO
2012-01-06,35,JAMES MORRISON FT JESSIE J,UP
2012-01-06,36,LANA DEL REY,VIDEO GAMES
2012-01-06,37,WANTED,LIGHTNING
2012-01-06,38,KELLY CLARKSON,MR KNOW IT ALL
2012-01-06,39,JESSIE J FT BOB,PRICE TAG
2012-01-06,40,RIZZLE KICKS,REWHEN I WAS A YOUNGSTER
2012-01-06,41,LOU MONTE,DOMINICK THE DONKEY
2012-01-06,42,JUSTIN BIEBER,MISTLETOE
2012-01-06,43,RIZZLE KICKS,DOWN WITH THE TRUMPETS
2012-01-06,44,BEYONCE,BEST THING I NEVER HAD
2012-01-06,45,ADELE,ROLLING IN THE DEEP
2012-01-06,46,JLS,DO YOU FEEL WHAT I FEEL
2012-01-06,47,PIXIE LOTT,ALL ABOUT TONIGHT
2012-01-06,48,JASON DERULO,FIGHT FOR YOU
2012-01-06,49,REBECCA FERGUSON,OTHING'S REAL BUT LOVE
2012-01-06,50,EXAMPLE,MIDNIGHT RUN
2012-01-13,1,FLO RIDA,GOOD FEELING
2012-01-13,2,COLDPLAY,PARADISE
2012-01-13,3,TAIO CRUZ,TROUBLEMAKER
2012-01-13,4,AVICII,LEVELS
2012-01-13,5,RIZZLE KICKS,MAMA DO THE HUMP
2012-01-13,6,OLLY MURS,DANCE WITH ME TONIGHT
2012-01-13,7,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-01-13,8,JESSIE J,DOMINO
2012-01-13,9,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-01-13,10,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-01-13,11,LMFAO,SEXY AND I KNOW IT
2012-01-13,12,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-01-13,13,ED SHEERAN,LEGO HOUSE
2012-01-13,14,MILITARY WIVES/GARETH MALONE,WHEREVER YOU ARE
2012-01-13,15,LITTLE MIX,CANNONBALL
2012-01-13,16,JLS,DO YOU FEEL WHAT I FEEL
2012-01-13,17,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-01-13,18,DRAKE FT RIHANNA,TAKE CARE
2012-01-13,19,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
2012-01-13,20,BEYONCE,LOVE ON TOP
2012-01-13,21,JAMES VINCENT MCMORROW,HIGHER LOVE
2012-01-13,22,KATY PERRY,THE ONE THAT GOT AWAY
2012-01-13,23,SEAN KINGSTON,PARTY ALL NIGHT (SLEEP ALL DAY)
2012-01-13,24,RIHANNA,YOU DA ONE
2012-01-13,25,CHRISTINA PERRI,JAR OF HEARTS
2012-01-13,26,LANA DEL REY,VIDEO GAMES
2012-01-13,27,LMFAO/LAUREN BENNETT/GOONROCK,PARTY ROCK ANTHEM
2012-01-13,28,ADELE,SOMEONE LIKE YOU
2012-01-13,29,WANTED,WARZONE
2012-01-13,30,JAMES MORRISON FT JESSIE J,UP
2012-01-13,31,SKEPTA,HOLD ON
2012-01-13,32,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2012-01-13,33,ED SHEERAN,THE A TEAM
2012-01-13,34,LADY GAGA,MARRY THE NIGHT
2012-01-13,35,ADELE,SET FIRE TO THE RAIN
2012-01-13,36,JESSIE J,WHO YOU ARE
2012-01-13,37,MICHAEL KIWANUKA,HOME AGAIN
2012-01-13,38,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-01-13,39,ADELE,ROLLING IN THE DEEP
2012-01-13,40,T-PAIN/WIZ KHALIFA/LILY ALLEN,5 O'CLOCK
2012-01-13,41,FOSTER THE PEOPLE,PUMPED UP KICKS
2012-01-13,42,BRUNO MARS,IT WILL RAIN
2012-01-13,43,DAVID GUETTA FT USHER,WITHOUT YOU
2012-01-13,44,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-01-13,45,BEYONCE,BEST THING I NEVER HAD
2012-01-13,46,BRUNO MARS,MARRY YOU
2012-01-13,47,WILL YOUNG,JEALOUSY
2012-01-13,48,JESSIE J FT BOB,PRICE TAG
2012-01-13,49,RIZZLE KICKS,WHEN I WAS A YOUNGSTER
2012-01-13,50,KELLY CLARKSON,MR KNOW IT ALL
2012-01-20,1,JESSIE J,DOMINO
2012-01-20,2,FLO RIDA,GOOD FEELING
2012-01-20,3,RIZZLE KICKS,MAMA DO THE HUMP
2012-01-20,4,AVICII,LEVELS
2012-01-20,5,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-01-20,6,TAIO CRUZ,TROUBLEMAKER
2012-01-20,7,COLDPLAY,PARADISE
2012-01-20,8,DAVID GUETTA FT SIA,TITANIUM
2012-01-20,9,OLLY MURS,DANCE WITH ME TONIGHT
2012-01-20,10,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-01-20,11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-01-20,12,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-01-20,13,BEYONCE,LOVE ON TOP
2012-01-20,14,PIXIE LOTT,KISS THE STARS
2012-01-20,15,LMFAO,SEXY AND I KNOW IT
2012-01-20,16,LANA DEL REY,VIDEO GAMES
2012-01-20,17,ED SHEERAN,LEGO HOUSE
2012-01-20,18,DRAKE FT RIHANNA,TAKE CARE
2012-01-20,19,RIHANNA,YOU DA ONE
2012-01-20,20,KATY PERRY,THE ONE THAT GOT AWAY
2012-01-20,21,KELLY CLARKSON,STRONGER
2012-01-20,22,FOSTER THE PEOPLE,PUMPED UP KICKS
2012-01-20,23,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-01-20,24,MILITARY WIVES/GARETH MALONE,WHEREVER YOU ARE
2012-01-20,25,BIRDY,RESKINNY LOVE
2012-01-20,26,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-01-20,27,CHRISTINA PERRI,JAR OF HEARTS
2012-01-20,28,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-01-20,29,MICHAEL KIWANUKA,HOME AGAIN
2012-01-20,30,LITTLE MIX,CANNONBALL
2012-01-20,31,JLS,DO YOU FEEL WHAT I FEEL
2012-01-20,32,SKEPTA,HOLD ON
2012-01-20,33,JAMES VINCENT MCMORROW,HIGHER LOVE
2012-01-20,34,SEAN KINGSTON,PARTY ALL NIGHT (SLEEP ALL DAY)
2012-01-20,35,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2012-01-20,36,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW
2012-01-20,37,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
2012-01-20,38,JESSIE J,WHO YOU ARE
2012-01-20,39,LADY GAGA,MARRY THE NIGHT
2012-01-20,40,ADELE,SOMEONE LIKE YOU
2012-01-20,41,LMFAO/LAUREN BENNETT/GOONROCK,PARTY ROCK ANTHEM
2012-01-20,42,ED SHEERAN,THE A TEAM
2012-01-20,43,SKRILLEX & THE DOORS,BREAKN' A SWEAT
2012-01-20,44,ADELE,SET FIRE TO THE RAIN
2012-01-20,45,DAVID GUETTA FT USHER,WITHOUT YOU
2012-01-20,46,T-PAIN/WIZ KHALIFA/LILY ALLEN,5 O'CLOCK
2012-01-20,47,BRUNO MARS,IT WILL RAIN
2012-01-20,48,JAMES MORRISON FT JESSIE J,UP
2012-01-20,49,BRUNO MARS,MARRY YOU
2012-01-20,50,SNOOP DOGG/WIZ KHALIFA/BRUNO,YOUNG WILD FREE
2012-01-27,1,JESSIE J,DOMINO
2012-01-27,2,RIZZLE KICKS,MAMA DO THE HUMP
2012-01-27,3,DAVID GUETTA FT SIA,TITANIUM
2012-01-27,4,SWEDISH HOUSE MAFIA/KNIFEPARTY,ANTIDOTE
2012-01-27,5,FLO RIDA,GOOD FEELING
2012-01-27,6,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-01-27,7,AVICII,LEVELS
2012-01-27,8,PIXIE LOTT,KISS THE STARS
2012-01-27,9,TAIO CRUZ,TROUBLEMAKER
2012-01-27,10,COLDPLAY,PARADISE
2012-01-27,11,KELLY CLARKSON,STRONGER
2012-01-27,12,OLLY MURS,DANCE WITH ME TONIGHT
2012-01-27,13,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-01-27,14,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-01-27,15,BEYONCE,LOVE ON TOP
2012-01-27,16,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-01-27,17,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-01-27,18,LMFAO,SEXY AND I KNOW IT
2012-01-27,19,RIHANNA,YOU DA ONE
2012-01-27,20,LANA DEL REY,VIDEO GAMES
2012-01-27,21,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW
2012-01-27,22,ED SHEERAN,LEGO HOUSE
2012-01-27,23,KATY PERRY,THE ONE THAT GOT AWAY
2012-01-27,24,FOSTER THE PEOPLE,PUMPED UP KICKS
2012-01-27,25,DRAKE FT RIHANNA,TAKE CARE
2012-01-27,26,CHER LLOYD,WANT U BACK
2012-01-27,27,CHRISTINA PERRI,JAR OF HEARTS
2012-01-27,28,ONE DIRECTION,ONE THING
2012-01-27,29,BIRDY,SKINNY LOVE
2012-01-27,30,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-01-27,31,SKEPTA,HOLD ON
2012-01-27,32,PITBULL/NE-YO/AFROJACK/NAYER,GIVE ME EVERYTHING
2012-01-27,33,SKRILLEX & THE DOORS,BREAKN' A SWEAT
2012-01-27,34,MILITARY WIVES/GARETH MALONE,WHEREVER YOU ARE
2012-01-27,35,M83,MIDNIGHT CITY
2012-01-27,36,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2012-01-27,37,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-01-27,38,JESSIE J,WHO YOU ARE
2012-01-27,39,ETTA JAMES,REAT LAST
2012-01-27,40,MICHAEL KIWANUKA,HOME AGAIN
2012-01-27,41,JME,96 F**KRIES
2012-01-27,42,PROFESSOR GREEN,EVER BE A RIGHT TIME
2012-01-27,43,ADELE,SOMEONE LIKE YOU
2012-01-27,44,SNOOP DOGG/WIZ KHALIFA/BRUNO,YOUNG WILD FREE
2012-01-27,45,DAVID GUETTA FT USHER,WITHOUT YOU
2012-01-27,46,NADIA ALI,RAPTURE
2012-01-27,47,JLS,DO YOU FEEL WHAT I FEEL
2012-01-27,48,LADY GAGA,MARRY THE NIGHT
2012-01-27,49,LITTLE MIX,CANNONBALL
2012-01-27,50,YASMIN FT SHY FX & MS DYNAMITE,LIGHT UP (THE WORLD)
2012-02-03,1,COVER DRIVE,TWILIGHT
2012-02-03,2,DAVID GUETTA FT SIA,TITANIUM
2012-02-03,3,JESSIE J,DOMINO
2012-02-03,4,RIZZLE KICKS,MAMA DO THE HUMP
2012-02-03,5,FLO RIDA FT SIA,WILD ONES
2012-02-03,6,SWEDISH HOUSE MAFIA/KNIFEPARTY,ANTIDOTE
2012-02-03,7,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW
2012-02-03,8,KELLY CLARKSON,STRONGER
2012-02-03,9,FLO RIDA,GOOD FEELING
2012-02-03,10,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-02-03,11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-02-03,12,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-02-03,13,OLLY MURS,DANCE WITH ME TONIGHT
2012-02-03,14,LANA DEL REY,BORN TO DIE
2012-02-03,15,AVICII,LEVELS
2012-02-03,16,TAIO CRUZ,TROUBLEMAKER
2012-02-03,17,COLDPLAY,PARADISE
2012-02-03,18,REDLIGHT,GET OUT MY HEAD
2012-02-03,19,PIXIE LOTT,KISS THE STARS
2012-02-03,20,LANA DEL REY,VIDEO GAMES
2012-02-03,21,KATY PERRY,THE ONE THAT GOT AWAY
2012-02-03,22,BEYONCE,LOVE ON TOP
2012-02-03,23,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-02-03,24,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-02-03,25,LMFAO,SEXY AND I KNOW IT
2012-02-03,26,ED SHEERAN,LEGO HOUSE
2012-02-03,27,RIHANNA,YOU DA ONE
2012-02-03,28,BIRDY,SKINNY LOVE
2012-02-03,29,ED SHEERAN,DRUNK
2012-02-03,30,DRAKE FT RIHANNA,TAKE CARE
2012-02-03,31,FOSTER THE PEOPLE,PUMPED UP KICKS
2012-02-03,32,SKRILLEX & THE DOORS,BREAKN' A SWEAT
2012-02-03,33,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-02-03,34,M83,MIDNIGHT CITY
2012-02-03,35,PROFESSOR GREEN,EVER BE A RIGHT TIME
2012-02-03,36,ONE DIRECTION,ONE THING
2012-02-03,37,CHRISTINA PERRI,JAR OF HEARTS
2012-02-03,38,CHER LLOYD,WANT U BACK
2012-02-03,39,JLS,DO YOU FEEL WHAT I FEEL
2012-02-03,40,KINGS OF POP,T.H.E (THE HARDEST EVER)
2012-02-03,41,NADIA ALI,RAPTURE
2012-02-03,42,JAMES MORRISON,REI WON'T LET YOU GO
2012-02-03,43,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2012-02-03,44,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-02-03,45,ETTA JAMES,AT LAST
2012-02-03,46,MILITARY WIVES/GARETH MALONE,WHEREVER YOU ARE
2012-02-03,47,DAVID GUETTA FT USHER,WITHOUT YOU
2012-02-03,48,ED SHEERAN,THE A TEAM
2012-02-03,49,JASON DERULO,BREATHING
2012-02-03,50,JESSIE J,WHO YOU ARE
2012-02-10,1,DAVID GUETTA FT SIA,TITANIUM
2012-02-10,2,ALYSSA REID FT JUMP SMOKERS,ALONE AGAIN
2012-02-10,3,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW
2012-02-10,4,JESSIE J,DOMINO
2012-02-10,5,FLO RIDA FT SIA,WILD ONES
2012-02-10,6,COVER DRIVE,TWILIGHT
2012-02-10,7,RIZZLE KICKS,MAMA DO THE HUMP
2012-02-10,8,KELLY CLARKSON,STRONGER
2012-02-10,9,LANA DEL REY,BORN TO DIE
2012-02-10,10,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-02-10,11,PIXIE LOTT,KISS THE STARS
2012-02-10,12,FLO RIDA,GOOD FEELING
2012-02-10,13,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-02-10,14,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-02-10,15,ED SHEERAN,DRUNK
2012-02-10,16,OLLY MURS,DANCE WITH ME TONIGHT
2012-02-10,17,LANA DEL REY,VIDEO GAMES
2012-02-10,18,SWEDISH HOUSE MAFIA/KNIFEPARTY,ANTIDOTE
2012-02-10,19,AVICII,LEVELS
2012-02-10,20,COLDPLAY,PARADISE
2012-02-10,21,REDLIGHT,GET OUT MY HEAD
2012-02-10,22,CHRISTINA PERRI,JAR OF HEARTS
2012-02-10,23,KATY PERRY,THE ONE THAT GOT AWAY
2012-02-10,24,BIRDY,SKINNY LOVE
2012-02-10,25,LMFAO,SEXY AND I KNOW IT
2012-02-10,26,BEYONCE,LOVE ON TOP
2012-02-10,27,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-02-10,28,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-02-10,29,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-02-10,30,DRAKE FT RIHANNA,TAKE CARE
2012-02-10,31,TAIO CRUZ,TROUBLEMAKER
2012-02-10,32,ED SHEERAN,LEGO HOUSE
2012-02-10,33,DAVID GUETTA FT NICKI MINAJ,RETURN ME ON
2012-02-10,34,M83,MIDNIGHT CITY
2012-02-10,35,RIHANNA,YOU DA ONE
2012-02-10,36,RIO FT U-JEAN,TURN THIS CLUB AROUND
2012-02-10,37,SKRILLEX & THE DOORS,BREAKN' A SWEAT
2012-02-10,38,ONE DIRECTION,ONE THING
2012-02-10,39,CHER LLOYD,WANT U BACK
2012-02-10,40,PROFESSOR GREEN,EVER BE A RIGHT TIME
2012-02-10,41,JAMES MORRISON,I WON'T LET YOU GO
2012-02-10,42,DAVID GUETTA FT USHER,WITHOUT YOU
2012-02-10,43,FOSTER THE PEOPLE,PUMPED UP KICKS
2012-02-10,44,NADIA ALI,RAPTURE
2012-02-10,45,JASON DERULO,BREATHING
2012-02-10,46,JLS,DO YOU FEEL WHAT I FEEL
2012-02-10,47,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-02-10,48,ED SHEERAN,THE A TEAM
2012-02-10,49,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
2012-02-10,50,KINGS OF POP,T.H.E (THE HARDEST EVER)
2012-02-17,1,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW
2012-02-17,2,DAVID GUETTA FT SIA,TITANIUM
2012-02-17,3,WILL I AM/JAGGER/LOPEZ,T.H.E (THE HARDEST EVER)
2012-02-17,4,JESSIE J,DOMINO
2012-02-17,5,ALYSSA REID FT JUMP SMOKERS,ALONE AGAIN
2012-02-17,6,FLO RIDA FT SIA,WILD ONES
2012-02-17,7,COVER DRIVE,TWILIGHT
2012-02-17,8,RIZZLE KICKS,MAMA DO THE HUMP
2012-02-17,9,KELLY CLARKSON,STRONGER
2012-02-17,10,LANA DEL REY,BORN TO DIE
2012-02-17,11,DAVID GUETTA FT NICKI MINAJ,TURN ME ON
2012-02-17,12,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-02-17,13,LANA DEL REY,VIDEO GAMES
2012-02-17,14,ED SHEERAN,DRUNK
2012-02-17,15,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-02-17,16,OLLY MURS,DANCE WITH ME TONIGHT
2012-02-17,17,FLO RIDA,GOOD FEELING
2012-02-17,18,PIXIE LOTT,KISS THE STARS
2012-02-17,19,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-02-17,20,AVICII,LEVELS
2012-02-17,21,COLDPLAY,PARADISE
2012-02-17,22,BIRDY,SKINNY LOVE
2012-02-17,23,REDLIGHT,GET OUT MY HEAD
2012-02-17,24,LMFAO,SEXY AND I KNOW IT
2012-02-17,25,SWEDISH HOUSE MAFIA/KNIFEPARTY,ANTIDOTE
2012-02-17,26,ONE DIRECTION,ONE THING
2012-02-17,27,KATY PERRY,THE ONE THAT GOT AWAY
2012-02-17,28,DRAKE FT RIHANNA,TAKE CARE
2012-02-17,29,BEYONCE,LOVE ON TOP
2012-02-17,30,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-02-17,31,ED SHEERAN,LEGO HOUSE
2012-02-17,32,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-02-17,33,CHRISTINA PERRI,JAR OF HEARTS
2012-02-17,34,REBECCA FERGUSON,OTHING'S REAL BUT LOVE
2012-02-17,35,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-02-17,36,RIO FT U-JEAN,TURN THIS CLUB AROUND
2012-02-17,37,MADONNA/NICKI MINAJ/MIA,GIVE ME ALL YOUR LUVIN'
2012-02-17,38,LIL WAYNE FT BRUNO MARS,MIRROR
2012-02-17,39,MAVERICK SABRE,RELET ME GO
2012-02-17,40,M83,MIDNIGHT CITY
2012-02-17,41,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-02-17,42,JASON DERULO,BREATHING
2012-02-17,43,CHER LLOYD,WANT U BACK
2012-02-17,44,SKRILLEX & THE DOORS,BREAKN' A SWEAT
2012-02-17,45,NADIA ALI,RAPTURE
2012-02-17,46,MAVERICK SABRE,REI NEED
2012-02-17,47,RIHANNA,YOU DA ONE
2012-02-17,48,TAIO CRUZ,TROUBLEMAKER
2012-02-17,49,EMELI SANDE,HEAVEN
2012-02-17,50,MAVERICK SABRE,O ONE
2012-02-24,1,DJ FRESH FT RITA ORA,HOT RIGHT NOW
2012-02-24,2,EMELI SANDE,EXT TO ME
2012-02-24,3,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW
2012-02-24,4,DAVID GUETTA FT SIA,TITANIUM
2012-02-24,5,FLO RIDA FT SIA,WILD ONES
2012-02-24,6,JESSIE J,DOMINO
2012-02-24,7,ALYSSA REID FT JUMP SMOKERS,ALONE AGAIN
2012-02-24,8,WILL I AM/JAGGER/LOPEZ,T.H.E (THE HARDEST EVER)
2012-02-24,9,ONE DIRECTION,ONE THING
2012-02-24,10,COVER DRIVE,TWILIGHT
2012-02-24,11,DAVID GUETTA FT NICKI MINAJ,TURN ME ON
2012-02-24,12,RIZZLE KICKS,MAMA DO THE HUMP
2012-02-24,13,KELLY CLARKSON,STRONGER
2012-02-24,14,WHITNEY HOUSTON,REI WILL ALWAYS LOVE YOU
2012-02-24,15,LANA DEL REY,BORN TO DIE
2012-02-24,16,NICKI MINAJ,STARSHIPS
2012-02-24,17,ED SHEERAN,DRUNK
2012-02-24,18,PITBULL FT CHRIS BROWN,INTERNATIONAL LOVE
2012-02-24,19,LANA DEL REY,VIDEO GAMES
2012-02-24,20,WHITNEY HOUSTON,REI WANNA DANCE WITH SOMEBODY
2012-02-24,21,FLO RIDA,GOOD FEELING
2012-02-24,22,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
2012-02-24,23,LIL WAYNE FT BRUNO MARS,MIRROR
2012-02-24,24,COLDPLAY,PARADISE
2012-02-24,25,LMFAO,SEXY AND I KNOW IT
2012-02-24,26,PIXIE LOTT,KISS THE STARS
2012-02-24,27,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
2012-02-24,28,OLLY MURS,DANCE WITH ME TONIGHT
2012-02-24,29,AVICII,LEVELS
2012-02-24,30,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
2012-02-24,31,CHARLENE SORAIA,WHEREVER YOU WILL GO
2012-02-24,32,REBECCA FERGUSON,OTHING'S REAL BUT LOVE
2012-02-24,33,DRAKE FT RIHANNA,TAKE CARE
2012-02-24,34,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
2012-02-24,35,EMELI SANDE,HEAVEN
2012-02-24,36,CHRISTINA PERRI,JAR OF HEARTS
2012-02-24,37,ED SHEERAN,LEGO HOUSE
2012-02-24,38,BEYONCE,LOVE ON TOP
2012-02-24,39,ADELE,ROLLING IN THE DEEP
2012-02-24,40,WHITNEY HOUSTON,REONE MOMENT IN TIME
2012-02-24,41,ADELE,SOMEONE LIKE YOU
2012-02-24,42,WHITNEY HOUSTON,REMY LOVE IS YOUR LOVE
2012-02-24,43,REDLIGHT,GET OUT MY HEAD
2012-02-24,44,WHITNEY HOUSTON,REI HAVE NOTHING
2012-02-24,45,KATY PERRY,THE ONE THAT GOT AWAY
2012-02-24,46,CHER LLOYD,WANT U BACK
2012-02-24,47,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
2012-02-24,48,BIRDY,SKINNY LOVE
