album_id,album_artwork,album_name,artist_name,release_date
00hVMpFWegdBKaNDAP55Bd,https://i.scdn.co/image/ab67616d0000b2739d3a02bd11c5366683517d32,No Gravity,Shontelle,
00k8alj8IzblCKTeCDvUNQ,https://i.scdn.co/image/ab67616d0000b27372ff735b85830e4f732055d8,Gemstone,Keeth,2022-12-08
00knSDNM4Adoiv2xQfdXnk,https://i.scdn.co/image/ab67616d0000b2733f1ea8047a5bad02d5d98953,Nursery Days,Woody Guthrie,1992-07-13
00on0E5o4LmGzYcEBF5DvN,https://i.scdn.co/image/ab67616d0000b273160ae6674f64d2b8b3eae749,Bath Time,Itty Bitty Beats,2014-11-18
00qCuTBME8tBVE31DUC9A5,https://i.scdn.co/image/ab67616d0000b27390eaf71ef924abe154d8a3b2,Parallel Space EP,Forest Drive West,2020-01-10
00tGmgLVaUJnG6Br4W8LaZ,https://i.scdn.co/image/ab67616d0000b273c81e12b52ebe86fc83d99685,Fantasy,Jazzy James,2022-05-11
00vGW2GwwF2wPN2L9ks07W,https://i.scdn.co/image/ab67616d0000b273a39a8cdf5efaa6dec709469b,The Rewipes Pt 1,Teste,2014-10-06
00vlUi2OxY7XOWY6GSCjjZ,https://i.scdn.co/image/ab67616d0000b27351c8ac9670dcb7872c88baa7,Sunny Afternoon,Oilix,2024-01-05
00wqWw2stnu3GT99Hzujzy,https://i.scdn.co/image/ab67616d0000b273da19c67dd48b699ab20500fe,plantboy,DRWN.,2021-08-13
0105AvGJRPBqCbzwk4pPzq,https://i.scdn.co/image/ab67616d0000b2739b1cb5e2d6dc8ff073a6c465,Shapeless,St. Barbe,2021-01-29
011B2rzDhgLrtvJ6p3S78H,https://i.scdn.co/image/ab67616d0000b273f1c060ddfccdb7f0b20a6035,Oh Inhuman Spectacle,Methyl Ethel,2016-02-26
011UqnWufU5oi05San1edI,https://i.scdn.co/image/ab67616d0000b2739a7cb385c88a5a1555af5ce5,"The Complete Columbia Recording Sessions, Vol. 1 - 1929-1937",Mildred Bailey,2017-04-14
012Zmc4xCOiJaR4wlnbtWg,https://i.scdn.co/image/ab67616d0000b2735ed8f0c0d4cb04f0b883a4f6,Coltrane [Rudy Van Gelder Remaster],John Coltrane,
012oKUlmu9qA84z4kYrOAj,https://i.scdn.co/image/ab67616d0000b2733f7642827e423f57b5bfc723,"Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",Mac Quayle,2016-06-03
013NKUxXOA4AAnWic9kYtE,https://i.scdn.co/image/ab67616d0000b27337dda63a1e5a2f3444db5cbb,Thank You,Diana Ross,2021-06-17
0147ARceUnx3rR0NchPFqI,https://i.scdn.co/image/ab67616d0000b27310002a6abf180e98ca4699de,Good Girl Gone Bad,Rihanna,2007-03-31
014xsQeC6vBSQkTiodIXVI,https://i.scdn.co/image/ab67616d0000b273432a01752fb6b4bf3422cf31,Bottle Rocket Short Film Soundtrack,Various Artists,2008-01-01
016ADI70nlo60GjfrM2ScA,https://i.scdn.co/image/ab67616d0000b273ed63088befa8a7a8842895d2,The Art Of Alfred Deller: The Counter-tenor Legacy,Alfred Deller,2008-03-04
0179Y0SF68K2S3tjVsb2Se,https://i.scdn.co/image/ab67616d0000b2730168dd1f9a43690c5fbd5988,Speicher 31,Wighnomy Brothers,2005-07-04
0181hm0yfWc28VtaR5FjHt,https://i.scdn.co/image/ab67616d0000b273eb6ba27212acd93dc9471f5b,The Jingle Workshop: Midcentury Musical Miniatures 1951-1965,Raymond Scott,2020-01-10
018IM6itAJfDTVcLxAdJVo,https://i.scdn.co/image/ab67616d0000b27336b27f73375b24b17a8f2224,Immaculata,Makaton,2018-11-30
019T87LVzoR6yBR8pYahZr,https://i.scdn.co/image/ab67616d0000b27364ee3fe9b273c081367e2e44,Arctic Riff,Marcin Wasilewski Trio,2020-06-26
019jkstAav7gCfwinh0asK,https://i.scdn.co/image/ab67616d0000b2737f332bfeb8009db49e7486b5,Mélodies en noir & blanc,Aldo Romano,2017-09-22
01D8TPwZUO4hxapkOklntY,https://i.scdn.co/image/ab67616d0000b2737d4b53a0116becef7e20ed93,"Prokofiev: Violin Concerto No. 1, Symphony No. 3, Chout & Rêves (Live)",Sergei Prokofiev,2018-08-03
01DGzYPUkJ7cN7ek3GlGEV,https://i.scdn.co/image/ab67616d0000b2735b0378240c7ec16b78c7633c,Cruisin,Oilix,2021-05-19
01EFyT5MpC3LYaOzws2Yjv,https://i.scdn.co/image/ab67616d0000b273530f0ab99d541966644e5cbd,Volume 2 (Vol. 2),Miles Davis,1956-01-01
01FpPvOsSIIwP5kFveYYv8,https://i.scdn.co/image/ab67616d0000b2736cfdff9097f3638a071c015f,"The Killa-hertz, Pt. 1 (Sampler)",Dillinja,2003-08-11
01GR4NL5O5CZM51k0aejKD,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,World War Joy,The Chainsmokers,2019-12-06
01GsxvwlAXZineSgxQXWR1,https://i.scdn.co/image/ab67616d0000b273b8303637bbe6d76afd65f854,Montara,Bobby Hutcherson,
01H9fhbrXvJesUZqH0p9aY,https://i.scdn.co/image/ab67616d0000b273a494a184b44df3c364ea8203,Holy Mountain,Noel Gallagher's High Flying Birds,2017-10-09
01MeOXVO3prEBCy8Pa5KJd,https://i.scdn.co/image/ab67616d0000b2731354ba2d710d4b9728c7e06f,Hand Jive,John Scofield,1994-01-01
01NGiVifTgrJzdwtgHyfU3,https://i.scdn.co/image/ab67616d0000b27379d4b738f89a33471c9e0aa6,Little Girl Blue (2013 - Remaster),Nina Simone,2013-08-27
01O0idjaWttTV15KhtNxEc,https://i.scdn.co/image/ab67616d0000b273fc46ad8796b89c749fd462e2,For the New Dawn,Vromm,
01P3Vfc4btQzA92G3VxyZX,https://i.scdn.co/image/ab67616d0000b273ab06435a75c6cd0e05611cb3,Crystal Clear,Phanatic,2020-02-10
01Q7PGLHs0JJ76uXRIz4Kk,https://i.scdn.co/image/ab67616d0000b27315c5400ec8d1e166d0177bbd,Dragons,The Cracked,2023-10-28
01QXFY18FWbGoDtWEpcUKp,https://i.scdn.co/image/ab67616d0000b2732f44f1e8e93d3255d5d9dc11,Andromeda Station,Saiko,2019-05-10
01Qi44ZwXsuH4Gb5PvZxV2,https://i.scdn.co/image/ab67616d0000b27313bc8b4c2441ec8200308255,Menagerie,Sean McVerry,2024-09-19
01RISdoFMhm5b3P3PjQp38,https://i.scdn.co/image/ab67616d0000b27312a5e996fa71e4d9cb5e521b,Clyde McPhatter & The Drifters,The Drifters,2005-04-26
01RJdKvXyz515O37itqMIJ,https://i.scdn.co/image/ab67616d0000b273b7307213fae24e3fbcbe46aa,More Songs About Buildings and Food (Deluxe Version),Talking Heads,1978-07-14
01TcECvkaDgXQksneowRzB,https://i.scdn.co/image/ab67616d0000b273467b2d8c8148b291f845fb90,OHMAMI,Chase Atlantic,2021-06-25
01XTAjGGB3gTLBSj4sy6KJ,https://i.scdn.co/image/ab67616d0000b273f10c698cad186568ae8f16ef,KTM,Carnage,2021-02-26
01XgByLeJJA79pBL7stEeJ,https://i.scdn.co/image/ab67616d0000b273a409162cd791c71aeaa33b15,Hot August Night (40th Anniversary Deluxe Edition),Neil Diamond,1973-03-03
01augOroN3D7Kv0stA7psp,https://i.scdn.co/image/ab67616d0000b27398da18b6412359e09e364287,Your Favorite Color,Brogan Bentley,2018-10-31
01c8l7ZNk7xmKXt5T4lVA3,https://i.scdn.co/image/ab67616d0000b27338c6181a817426570229e0ef,Stink-o-saurus Song,Mr Yipadee,2019-07-17
01cbQN8XXD53sRV31mpARQ,https://i.scdn.co/image/ab67616d0000b273d15b2fe6ad38258b76547aae,Nature,Various Artists,2017-05-04
01el3bj8aYkHy8g4R8nM7n,https://i.scdn.co/image/ab67616d0000b2738dcb50c3484da09fd6876bc4,My Baby's Gone,The Louvin Brothers,2007-01-01
01hBj99lvTdbtFtiVPHTZO,https://i.scdn.co/image/ab67616d0000b27348553bdf6f154c06eef6c11d,Something Has Happened,Jazzinuf,2022-04-08
01hp4DvayKlnqUQrmk0vvz,https://i.scdn.co/image/ab67616d0000b273e8b923caee478adf4a5b56de,A Fever You Can't Sweat Out,Panic! At The Disco,2005-09-27
01htlsfgnnMtHFxuzPKM4M,https://i.scdn.co/image/ab67616d0000b273fdf4f91f90d0e54f52700e23,Greatests Hits & Remixes,Cappella,2016-10-21
01iSGkhk55RkpKPybjdaDd,https://i.scdn.co/image/ab67616d0000b2732412d822fa03b269889e27de,Kitsuné Maison Compilation 5,Various Artists,2008-02-04
01jyXAaAAGlXrUjHZPDhdc,https://i.scdn.co/image/ab67616d0000b2735e51168a8c78b4fd597bf85e,Not the Only Road,Richard Hawley,2023-06-14
01km9IMS6czI8LoJzq6Bsi,https://i.scdn.co/image/ab67616d0000b2734f50c71165f907ebc650980f,Strangers,Coubo,2017-08-09
01l3jTY261V3CESZR4dABz,https://i.scdn.co/image/ab67616d0000b2734626ff0fee963da605f6aa06,Man of the Woods,Justin Timberlake,2018-02-02
01lVJ9NbOvQgjsoBLwl0h8,https://i.scdn.co/image/ab67616d0000b27396ec35604ce7c5edb62b66f2,Ida Con Snock,Michael Hurley,2009-10-06
01m2bictEiKiVzFjk0h28N,https://i.scdn.co/image/ab67616d0000b2731be92a146cb0b49b0b2222f0,新しい日の誕生,２８１４,2015-01-21
01mhQ5flpgrSLut3KInx0B,https://i.scdn.co/image/ab67616d0000b273f41a9cc378b79998f54dcfce,Goodbye Bread,Ty Segall,2011-06-21
01nvcRTK6B4sKNK8GkhaPa,https://i.scdn.co/image/ab67616d0000b273c6268eed3f3ae6ece0af071d,Refresh Your Mind,Ultimate Spa Music,2015-09-05
01ofr7grBeNmvO5Gh61j4j,https://i.scdn.co/image/ab67616d0000b273d4606a2ffa7c477d3754560f,"Debussy: Complete Works for Piano, Vol. 3",Claude Debussy,2008-05-01
01vINTMNqHsxWYTo9HZVJk,https://i.scdn.co/image/ab67616d0000b2732969477f94aae2ff5808a76d,White Roses,Flyte,2019-07-05
01wIRxtfIFG2JmmlU7ix5N,https://i.scdn.co/image/ab67616d0000b2739f0f86b54e7ca8870fac0ede,Reflection,Swørn,2020-08-10
01wjr9UN1VCEUUXF3gZOaE,https://i.scdn.co/image/ab67616d0000b273541e8d8dcbddf24fd4988116,Another Place & Time,Donna Summer,1989-03-20
01x6HDJLV2jCLj7svv4Axg,https://i.scdn.co/image/ab67616d0000b273084c8b2bc4a15a94cc039fe4,I'm Glad You're Here With Me Tonight,Neil Diamond,
01xpSLUMbM1hIucsNQdgsD,https://i.scdn.co/image/ab67616d0000b2739b979cb6fd292443aa753edc,Innovative Life,Arabian Prince,
01yLTRvmSWvrZIwrSZJJPr,https://i.scdn.co/image/ab67616d0000b2736019ff9a5cc5766f7d304fe1,Adventures In Rainbow Country,Addison Groove,2012-09-14
01yOeeOO62Qcf66iRiuc8P,https://i.scdn.co/image/ab67616d0000b273c0be83adbfe8039a020e9d91,Relaxing Piano Music,Various Artists,2016-05-18
01yg23SzaoE9GMfvkYedXi,https://i.scdn.co/image/ab67616d0000b27311452b7384fc2778ca564187,U Just Don't Know,Budai & Vic,2008-06-17
01z8D5ZxqdgYcTkBeEEg1Y,https://i.scdn.co/image/ab67616d0000b273b774931a152642f877b4ffa7,HeART-Break NoTEL (THE FREESTYLES),Deyah,2022-03-18
0207ZP0EfLixTqVx53YCik,https://i.scdn.co/image/ab67616d0000b2738980542d09e2f1789a50358f,Walk Man,Dualizm,2023-06-02
024yNADGjvnhSVjscpD5qG,https://i.scdn.co/image/ab67616d0000b27311db0546801ce7af83222c42,Felicidades,Cheo Feliciano,1973-12-31
025P8CZ3vwgnKgvgwUqapV,https://i.scdn.co/image/ab67616d0000b273c2ae553aab1839353aa84304,"Rautavaara, E: Symphonies Nos. 1-8",Einojuhani Rautavaara,2009-01-01
026fArxz2P8Vuj8ReXLD6j,https://i.scdn.co/image/ab67616d0000b273062515b0a2268faf7bdad20e,The Libertines,The Libertines,2004-08-30
026pVAuw8fgYKLvAak8uA9,https://i.scdn.co/image/ab67616d0000b2735306a61ba4b60e85ea4ff198,Earfood,Roy Hargrove,2008-01-01
02849Ok2RiLAaZpbJzceaS,https://i.scdn.co/image/ab67616d0000b27364e54ce89d330090f97f680d,Down For The Third Time,Citrus Sun,2024-05-24
028QQccBlvXt8yFJ2xzvoy,https://i.scdn.co/image/ab67616d0000b273e51e7b7560f4af3eba9569c7,…And Star Power,Foxygen,2014-10-14
028hcl8RZsP8AgMKMJH35r,https://i.scdn.co/image/ab67616d0000b2736408beeb3bf00e91e423a37a,12:01 A.M.,Wine Pride,2024-04-11
029MF3wH8f1fppVAbZJUKg,https://i.scdn.co/image/ab67616d0000b273690be526a94706372806ef04,sovereign,UKDD,2024-02-08
02D6lCDUToX2m7ucYlpXn6,https://i.scdn.co/image/ab67616d0000b273cc3f777e98e4e93b20c33d99,Darkest Dungeon (Original Video Game Soundtrack) [Deluxe Edition],Stuart Chatwood,2017-06-22
02GEKxoVe5ITAj68mZRAM7,https://i.scdn.co/image/ab67616d0000b2735f0a59daa1b8f11bfbfe94f3,Quentin Tarantino's Once Upon a Time in Hollywood Original Motion Picture Soundtrack,Various Artists,2019-07-26
02HuIsELKXwTBcpbxpqo8X,https://i.scdn.co/image/ab67616d0000b27317343097c09989ae7c469574,Polytravellers,Vektroid,2011-05-12
02Jk9Qeu8PnWlqtnndJrQ9,https://i.scdn.co/image/ab67616d0000b273d39e0e6df68bd7d0de0a48ec,Are We There Yet?,Remulak,2024-03-07
02KvZdz1ZwyGTok0Sl5g3a,https://i.scdn.co/image/ab67616d0000b2733dea1a876006a175a20047ed,Make Up The Breakdown,Hot Hot Heat,2002-10-08
02LhQdVX706kIrTX1mvqok,https://i.scdn.co/image/ab67616d0000b2731ffd8c61e71764261a0bcba3,Pubg,Sully,2017-11-03
02MnoNOGBJbKOGZjOiq6tr,https://i.scdn.co/image/ab67616d0000b273b77baaafa04067e6d79ce163,Lost Tapes: The Modern Jazz Quartet,The Modern Jazz Quartet,2016-07-29
02NYB7JtjRJV7FWsl4Cdar,https://i.scdn.co/image/ab67616d0000b273812f0c24826fb7a3ee46f790,Someday At Christmas,Stevie Wonder,1967-11-01
02QmoEK1ROWO1US6PdwWad,https://i.scdn.co/image/ab67616d0000b2737b068f2935ed363cc7685c90,Swinging,Loufish,2023-05-02
02R0gk6SfC5hbtmFvPsQ6j,https://i.scdn.co/image/ab67616d0000b273082220abcd478e798a7b641b,More to Say Versions,The Frightnrs,2017-10-20
02RHfsgbl7H9lnYXEsTLsA,https://i.scdn.co/image/ab67616d0000b2735e49b74250ee32cb3e5803d9,Silver / Lead,Wire,2017-03-31
02RIhDlOzPJjGzgjHD8vzU,https://i.scdn.co/image/ab67616d0000b273ac2412f705d576c522eae666,Satan's Graffiti or God's Art?,Black Lips,2017-07-07
02RrqvEv45gBBqOOtBX78p,https://i.scdn.co/image/ab67616d0000b273fb5166bb3ece94b8dcfeafbd,We out Here,Various Artists,2018-02-09
02S1126Q5E4gUEtpTI6W38,https://i.scdn.co/image/ab67616d0000b2738685797dd8daba2cebacdd49,World of Warcraft: Legion (Original Game Soundtrack),Blizzard Entertainment,2016-08-30
02UoMV3V6ZOj2eQuKmwGpv,https://i.scdn.co/image/ab67616d0000b2739542f483093cf54cae538806,Ecstatic Meditations,Tom Furse,2021-01-22
02VmGGZVwEVQIv1gUJsYZx,https://i.scdn.co/image/ab67616d0000b2730a7c7228810f113882b91ae9,"Oh, What a Beautiful Mornin'",Rachel Silver,2020-11-09
02X1cQOUcwYPxgFfqHeitI,https://i.scdn.co/image/ab67616d0000b273f842f028c8716c62bbd7c57a,Rich Men North of Richmond,Oliver Anthony Music,2023-08-11
02XWXWW8SGQsdP4D0VblJY,https://i.scdn.co/image/ab67616d0000b273a8b5e01d9e6e91f4783496bb,"Fantasy Ambient, Vol. 1",Moonlynx,2022-06-17
02XyFDfvHfIwtqOC3o0PcK,https://i.scdn.co/image/ab67616d0000b2730412a1a5731436dcad75a770,Sweetheart Of The Rodeo,The Byrds,
02YZvXUwPEvxb0YLdI7oEk,https://i.scdn.co/image/ab67616d0000b2730f5e8b1a2c5f272d17f4bc9e,Got Time For Me (with Channel Tres),Jamie Jones,2023-04-07
02bE6m2yZgn9kKwUi9tdtV,https://i.scdn.co/image/ab67616d0000b273e45691b5be7462c49d3468b9,Bothy Ballads of Scotland,Ewan MacColl,2013-12-31
02bwzcFxfzEwsEqTq9ySpS,https://i.scdn.co/image/ab67616d0000b273bca9c4f7061c108d26c14d82,Living Human Treasure,Italia 90,2023-01-20
02dfQZil387D7vMGoBnYT8,https://i.scdn.co/image/ab67616d0000b273ff6c05308cdbae06b21009ef,Schumann : Musique de chambre avec vents 1849 (Schumann: Chamber music with winds 1849),Robert Schumann,
02f2rwDGoca58X1OeY9Uxe,https://i.scdn.co/image/ab67616d0000b27368248318a535e6289617b9b0,Diversions 1994-1996,Lee Gamble,2012-11-09
02f3y3NTsddjdUMoNiBppI,https://i.scdn.co/image/ab67616d0000b273a2fc41b0dd6ce4f0d16a4c46,Make It Big,Wham!,
02g9VITtKZjpTvIdiJ35k5,https://i.scdn.co/image/ab67616d0000b273b2395a59f2f178c256992f14,Larp of Luxury,Eyeliner,2013-11-28
02gAIxMFblGH86TFgc8vss,https://i.scdn.co/image/ab67616d0000b27302732fdb7edc93f0cbebaf7b,Eye to Eye,Cap Kendricks,2019-07-17
02gV87QEIFp2T9q7OqVBjj,https://i.scdn.co/image/ab67616d0000b27345100f4cdb2a88ecf80f270f,3 (The Purple Album),Lukas Graham,
02hUz7CPTT9IaYMeOUh15k,https://i.scdn.co/image/ab67616d0000b2739fd5b53fd8e1541c074cdfcb,Night Café,KLIM,2021-11-08
02hycIHQgbyD6GzBUu9U0R,https://i.scdn.co/image/ab67616d0000b2739b8f8a1c8fe03b7c6b79b86e,Basic Love,Jade Imagine,2019-08-02
02iBaExXa9p10DT4JlwSU0,https://i.scdn.co/image/ab67616d0000b2730f9adbcacb9f1379e8391175,In The Afterworld,Om Unit,2023-06-23
02jOLVMtUzuwfTOhTkN2kC,https://i.scdn.co/image/ab67616d0000b273242afea54a80bb77f7b15e51,Wanderlust,Inf,2021-02-05
02lApfaX6ADtpenYYHS3nC,https://i.scdn.co/image/ab67616d0000b27380e4be02eb3b25dce6fa5a58,Tis the season,Wonder Eve,2022-10-14
02lktkm4J7K7N8T63Gm7KX,https://i.scdn.co/image/ab67616d0000b273c8d7445dbee75973efa970e8,Black Sunday,Cypress Hill,1993-07-20
02mN4eqfp6sUXTKdw1VXcE,https://i.scdn.co/image/ab67616d0000b27351f12b7ec753ac838407d5aa,"Bach, J. S.: Violin Concertos / Concerto for 2 Violins / Oboe D'Amore Concerto",Johann Sebastian Bach,2002-01-01
02nsklKUfMLvtKxh6cvThe,https://i.scdn.co/image/ab67616d0000b273cc9cfda9a740a8322beacee7,Bada Bing Bada Banjo,Ryan Thomson,2019-09-04
02o4ipeZALU4EG2RX6d4Ip,https://i.scdn.co/image/ab67616d0000b27309a63e3a21ae31cabc3c3dbf,La Biographie de Luka Philipsen,Keren Ann,2000-04-20
02pi98kE0nra0yBqCStzbC,https://i.scdn.co/image/ab67616d0000b2736567a393a964a845a89b7f70,+,Ed Sheeran,2011-09-09
02pjVcQKk8Y9Stf33hLyjr,https://i.scdn.co/image/ab67616d0000b27345eaa077341eb3a4d3a75b4e,American Tour (2019 - Remaster),The Dave Clark Five,1964-08-03
02qRkE8eImCiExxf2r2bJB,https://i.scdn.co/image/ab67616d0000b273fd16e2ff64ade65727211ba4,Imani,E-SWERVE,2022-02-01
02qkivVdxBztgoMyucG7DF,https://i.scdn.co/image/ab67616d0000b273ccca32c9c04fe29742c952e0,A Way of Existing,Kanisan,2020-05-02
02r1uLXxm3oa45Bp8d05FM,https://i.scdn.co/image/ab67616d0000b2736f82d67876de8126901b2daf,My World EP,Avril Lavigne,2003-11-03
02re9DV48w3DBMwnCR6S3Q,https://i.scdn.co/image/ab67616d0000b2733237bdf459d81c3bf0e4a358,Wiedźmin 3: Dziki Gon (Original Game Soundtrack),Marcin Przybyłowicz,2015-08-26
02s8r93uDQQ90toqgPyXwj,https://i.scdn.co/image/ab67616d0000b273e301c948bd690777229aa095,Sleep of Reason,Randomer,2019-11-29
02tfQwJSOLP77oCd9U8bqm,https://i.scdn.co/image/ab67616d0000b27316c75e2dd2654d7d03f2c556,Rio (Collector's Edition),Duran Duran,1982-05-10
02v7KZwhzrycECwi8OOB15,https://i.scdn.co/image/ab67616d0000b2731d1bcc1b7a150c1aa7553297,Kurzsam and Fulger,Christian Wallumrød Ensemble,
02w1xMzzdF2OJxTeh1basm,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432,Fallen,Evanescence,2003-03-04
02wixguai7H3ZJIE6xN1EV,https://i.scdn.co/image/ab67616d0000b273c9b7f672ef493a96aa7d8cde,The Depth,Posthuman,2020-07-24
02xgi7oFRl22FFr9GU8t1c,https://i.scdn.co/image/ab67616d0000b2735934006f3ae11a9753963714,I Wrote A Simple Song,Billy Preston,1971-01-01
02y5z1G9EuN0BJRtdqbJRt,https://i.scdn.co/image/ab67616d0000b273e5e4dd75f825b752af2b0680,The Other Side,Tord Gustavsen Trio,2018-08-31
