artist_id,artist_name,artist_popularity,artist_image,primary_genre,supergenre
1cwNKCIuq12wLqAAsC1Zyi,Jevon,30,https://i.scdn.co/image/ab6761610000e5eb0cad90e0a21bb14c3ae94f36,uk r&b,Unlisted
3QgSmABpItIdj908ek80n5,Morphine,52,https://i.scdn.co/image/80d6bb0b980dcf3043465c9bfaa49ca0edeb167a,Rock,Rock
6jF345xlOryBwNKDbuAyN3,Memory Tapes,31,https://i.scdn.co/image/1ef66af15ce9393e2300278caa01d23fc275234f,chillwave,Ambient & Experimental Electronic
50KLYZQtZLrR2gGa5oHJEF,Rolf Harris,29,https://i.scdn.co/image/ab67616d0000b273301071221a3521866b391738,Pop,Pop
1Jqk46QvzUn7SnwmTGX6Cw,Jo Stafford,49,https://i.scdn.co/image/8e86114be76f1cb4fb5d73607768d41d894ddf8b,adult standards,Pop
2CIMQHirSU0MQqyYHq0eOx,deadmau5,69,https://i.scdn.co/image/ab6761610000e5eb89ffabe57a25cedeca3309e7,edm,House & EDM
6eXZu6O7nAUA5z6vLV8NKI,Little Simz,69,https://i.scdn.co/image/ab6761610000e5eba22264dfbad2d96ffc6ee2e0,Hip Hop,Hip Hop/Rap
0FIagKn8Ibj8ikj5VvTXto,Matt Berry,52,https://i.scdn.co/image/ab6761610000e5eb814c339af58ac58b5f4c3df0,acid jazz,Jazz
6UmdRN4VAfN58ZCLYGGBDE,Suspect OTB,33,https://i.scdn.co/image/ab6761610000e5eb15646b02ddcf0d546f42a007,grime,Bass Music
5sD7Cf3SaTVcrg81GQi1Xk,Piero Umiliani,57,https://i.scdn.co/image/ae6a50a9dd32105aa92685fe365813e62da397a0,exotica,Pop
5zJ1ZAAqbVsllw4pCzlK3T,De Leon,23,https://i.scdn.co/image/ab67616d0000b273524e44481a06833a7b9edc15,trance,Techno & Trance
66BH8Jnv0yD9okIXPWR5vZ,Apeman Spaceman,0,https://i.scdn.co/image/ab6761610000e5ebb4fcb5913fdef3f89bb3eb88,Rock,Rock
01Jsi7Q2a1GdLvNShahaj1,Royal Headache,34,https://i.scdn.co/image/ab6761610000e5eb0ed7d71fde428b89bc39636c,garage rock,Rock
0RCrYBRfaQE2LRIydaUODb,DJ Rashad & Chi Boogie,0,,Electronic,House & EDM
7gRH7pJQJaAvrwvi8STYEl,Matt Duncan,53,https://i.scdn.co/image/ab6761610000e5eb03b92d64606dd4b50c056eaf,retro soul,R&B/Soul
3WbeZvDk1COiO2dEokZqn7,Roy Ayers Ubiquity,54,https://i.scdn.co/image/ab6772690000c46cce17bb88489d99b88d3dca0d,jazz funk,Jazz
7JFtD8KnbAADBBDleIMuH7,The Lone Bellow,47,https://i.scdn.co/image/ab6761610000e5ebb5bcd30d7f6b8b51f1a4d6ad,americana,Country/Americana
0jU1Tdr7ONlgk0Ey9JgXra,Manga Saint Hilare,35,https://i.scdn.co/image/ab6761610000e5eba258b1c3a3c425d5f44ef35a,grime,Bass Music
4z8y2MjTFwLa73dABYP1io,Gabber Modus Operandi,20,https://i.scdn.co/image/ab6761610000e5eb886ff71bdf95fdd060c5ddfc,gabber,Garage & Breaks
7K78lVZ8XzkjfRSI7570FF,José Feliciano,64,https://i.scdn.co/image/ab6761610000e5eb5f8c900bf430e6bfae9ec7c2,christmas,Jazz
6mMCSCuTbGU6kNr4303LwH,The Flashbulb,44,https://i.scdn.co/image/ab6761610000e5eb6fa976a8d7829935db6a2b74,idm,Ambient & Experimental Electronic
6Bfy6QzadCXS92y0T8dDZF,Eddie Floyd,45,https://i.scdn.co/image/a2d13492200ed858f8e54b48fa584adde3aca222,motown,R&B/Soul
